,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Chamba,578.31,683.98,128.53,67.51,1139.7,951.38,75.05,19.99,73.71,93.08,47.03,9.03,44.17,56.23,45.34,85.72,36.6,18.67,45.79,17.32,55.6,3.81,63.94,51.94,32.23,6.11,5.53,29.37,19.86,67.01,50.63,18.84,4.79,19.18,HP,Rural,Northern Zone
2,Chamba,626.02,738.25,142.43,68.84,1128.31,936.33,75.7,25.38,74.95,92.58,48.44,8.38,43.03,57.17,47.54,85.19,38.92,21.25,48.02,18.67,56.9,3.61,64.56,52.12,32.58,9.12,7.64,29.9,19.06,66.33,51.23,20.32,5.25,20.99,HP,Total,Northern Zone
4,Kangra,1946.63,2077.83,365.15,83.37,1110.95,767.23,66.75,31.43,94.27,97.44,65.7,2.48,40.91,74.6,81.55,93.76,57.57,47.33,83.0,39.1,87.61,4.53,68.61,66.09,44.95,8.49,10.74,25.85,19.25,48.23,61.42,26.13,11.67,23.22,HP,Rural,Northern Zone
5,Kangra,2062.74,2149.72,398.45,83.39,1106.72,781.36,67.08,34.89,94.33,96.73,65.84,2.41,41.27,74.51,81.91,93.89,57.82,47.77,83.34,40.31,87.82,4.46,68.61,65.37,45.45,8.32,10.54,25.58,18.76,47.32,59.71,26.26,11.45,23.9,HP,Total,Northern Zone
7,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Rural,Northern Zone
8,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Total,Northern Zone
10,Kullu,500.65,572.35,144.57,73.15,1021.81,990.46,65.86,33.1,82.12,97.5,44.81,18.9,58.69,82.45,71.11,85.67,56.03,44.08,72.77,22.28,70.06,4.03,67.8,62.16,51.63,0.71,0.95,19.55,13.28,56.3,62.3,23.35,4.84,32.33,HP,Rural,Northern Zone
11,Kullu,551.89,616.92,168.87,74.18,1014.92,1008.53,65.15,37.79,82.33,96.83,46.41,17.77,58.27,82.11,71.26,85.21,56.3,44.33,71.81,22.94,70.48,3.86,65.68,61.87,49.74,0.64,0.88,19.0,13.38,54.91,59.47,23.82,5.69,32.64,HP,Total,Northern Zone
13,Mandi,1299.23,1358.65,260.81,74.21,1175.31,889.12,71.69,19.85,86.23,96.5,62.49,14.57,63.33,61.0,52.81,88.28,33.9,21.24,54.15,17.85,62.28,3.07,80.87,70.91,36.74,15.4,13.86,27.54,15.23,35.14,37.03,22.83,9.06,20.85,HP,Rural,Northern Zone
14,Mandi,1387.48,1471.62,306.52,75.44,1166.72,921.1,71.57,23.77,86.87,96.36,63.86,14.3,62.7,61.05,56.13,87.49,34.21,21.92,56.26,19.32,64.34,2.83,78.75,69.03,35.44,15.76,13.86,26.29,15.22,37.75,39.67,23.1,9.43,22.45,HP,Total,Northern Zone
