,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Chamba,578.31,683.98,128.53,67.51,1139.7,951.38,75.05,19.99,73.71,93.08,47.03,9.03,44.17,56.23,45.34,85.72,36.6,18.67,45.79,17.32,55.6,3.81,63.94,51.94,32.23,6.11,5.53,29.37,19.86,67.01,50.63,18.84,4.79,19.18,HP,Rural,Northern Zone
4,Kangra,1946.63,2077.83,365.15,83.37,1110.95,767.23,66.75,31.43,94.27,97.44,65.7,2.48,40.91,74.6,81.55,93.76,57.57,47.33,83.0,39.1,87.61,4.53,68.61,66.09,44.95,8.49,10.74,25.85,19.25,48.23,61.42,26.13,11.67,23.22,HP,Rural,Northern Zone
7,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Rural,Northern Zone
10,Kullu,500.65,572.35,144.57,73.15,1021.81,990.46,65.86,33.1,82.12,97.5,44.81,18.9,58.69,82.45,71.11,85.67,56.03,44.08,72.77,22.28,70.06,4.03,67.8,62.16,51.63,0.71,0.95,19.55,13.28,56.3,62.3,23.35,4.84,32.33,HP,Rural,Northern Zone
13,Mandi,1299.23,1358.65,260.81,74.21,1175.31,889.12,71.69,19.85,86.23,96.5,62.49,14.57,63.33,61.0,52.81,88.28,33.9,21.24,54.15,17.85,62.28,3.07,80.87,70.91,36.74,15.4,13.86,27.54,15.23,35.14,37.03,22.83,9.06,20.85,HP,Rural,Northern Zone
16,Hamirpur,625.44,645.61,97.48,84.44,1249.99,982.69,81.21,21.65,97.7,99.18,66.31,3.2,44.63,69.87,73.38,86.06,54.85,39.79,81.86,32.39,90.53,3.87,47.65,79.87,40.86,16.06,17.17,28.78,13.49,40.69,35.96,20.76,13.49,33.46,HP,Rural,Northern Zone
19,Una,679.03,774.47,148.34,86.12,1118.61,871.43,68.56,28.05,91.85,94.64,57.59,4.31,33.49,67.85,71.29,76.74,51.69,36.38,68.26,32.12,80.03,7.17,61.08,73.57,22.49,12.32,12.88,23.68,15.16,55.58,47.53,16.15,8.96,24.61,HP,Rural,Northern Zone
22,Bilaspur,480.94,513.73,92.11,78.11,1098.31,917.24,69.77,14.24,92.16,97.81,60.1,14.22,50.75,72.61,59.02,75.49,55.47,33.96,75.53,21.61,82.43,2.42,59.75,76.12,41.97,8.72,9.96,28.23,15.86,28.98,39.42,13.83,7.3,18.22,HP,Rural,Northern Zone
25,Solan,618.84,743.19,191.08,79.1,995.62,1091.73,65.24,35.52,85.77,97.08,51.07,9.81,71.5,70.76,72.56,81.88,50.96,38.76,70.05,30.89,72.2,5.13,78.73,58.52,40.64,12.17,9.54,31.32,16.86,70.0,66.74,25.88,9.52,30.71,HP,Rural,Northern Zone
28,Sirmaur,502.78,594.05,151.35,71.81,1007.99,811.68,66.63,29.83,80.83,94.61,45.52,9.2,56.64,69.61,59.14,90.53,47.53,30.16,61.25,17.74,75.96,0.38,70.12,57.36,49.08,5.25,5.09,24.7,21.82,63.89,45.39,20.31,8.38,21.67,HP,Rural,Northern Zone
31,Shimla,801.18,879.6,206.99,73.02,1014.29,1228.93,69.76,55.28,82.63,95.88,56.79,9.16,65.96,73.83,74.63,85.31,50.22,42.96,71.56,37.45,74.55,1.24,86.42,57.28,45.91,12.95,11.84,27.37,13.61,74.32,71.7,32.49,10.63,39.23,HP,Rural,Northern Zone
34,Kinnaur,113.92,100.1,24.66,71.17,1048.38,806.87,67.09,66.67,87.7,97.35,57.6,22.51,57.88,82.23,67.33,90.71,49.81,35.17,77.55,36.21,79.88,2.8,81.95,61.05,62.12,11.69,10.67,18.41,13.21,83.08,80.79,34.46,11.35,36.1,HP,Rural,Northern Zone
36,West Garo Hills,829.0,1034.0,129.0,75.6,979.0,983.0,43.4,10.6,75.9,75.9,34.3,17.7,31.7,44.7,35.3,85.8,9.9,3.2,33.2,8.3,41.5,1.8,42.7,47.2,69.9,16.0,17.4,30.5,13.0,52.2,72.8,3.6,1.9,3.0,ML,Rural,North Eastern Zone
38,East Garo Hills,792.0,1058.0,114.0,76.5,1058.0,1110.0,48.6,2.5,66.7,73.5,22.8,20.1,11.6,30.7,29.6,54.1,17.5,7.8,25.0,3.4,41.3,6.3,34.9,52.4,48.6,18.3,18.0,30.3,10.8,74.4,65.8,1.2,0.7,7.3,ML,Rural,North Eastern Zone
40,South Garo Hills,850.0,1214.0,148.0,85.7,1021.0,1120.0,84.6,7.2,86.0,96.6,49.7,10.5,19.8,57.0,50.4,93.3,50.3,23.9,85.4,0.7,88.8,0.2,82.6,76.2,36.2,35.3,36.3,17.0,3.7,77.2,46.1,5.6,12.4,14.9,ML,Rural,North Eastern Zone
42,West Khasi Hills,818.0,936.0,111.0,85.3,951.0,967.0,79.2,5.4,87.5,90.6,17.8,21.3,19.1,36.3,40.4,73.5,30.9,19.4,34.8,7.1,33.5,2.2,71.1,41.3,67.0,27.4,24.7,49.4,9.4,36.6,49.0,22.3,7.2,7.4,ML,Rural,North Eastern Zone
44,Ribhoi,795.0,981.0,129.0,78.3,1000.0,1097.0,54.7,9.1,74.5,80.3,13.3,23.6,22.3,43.6,39.7,75.1,33.8,18.6,43.1,10.2,43.4,2.3,56.1,61.9,76.5,32.7,28.0,52.0,16.9,44.9,67.7,16.6,11.1,21.6,ML,Rural,North Eastern Zone
46,East Khasi Hills,912.0,1149.0,132.0,93.7,1077.0,761.0,65.1,74.9,93.7,96.4,62.3,4.4,29.0,75.8,79.6,92.0,57.5,43.9,82.8,14.5,95.1,1.5,77.0,68.1,55.5,21.5,25.4,31.4,11.5,38.0,42.2,24.9,17.2,32.3,ML,Urban,North Eastern Zone
47,East Khasi Hills,876.0,1024.0,133.0,87.0,987.0,994.0,66.2,11.2,91.3,85.6,23.7,14.3,12.9,71.0,69.6,80.7,55.9,40.4,56.7,13.5,55.6,3.0,66.1,59.8,50.7,30.6,29.3,55.3,14.2,50.1,51.9,42.6,33.0,29.5,ML,Rural,North Eastern Zone
49,Jaintia Hills,841.0,1009.0,122.0,76.9,981.0,1061.0,54.6,15.3,77.7,75.8,19.7,27.2,18.5,62.7,51.0,84.3,40.9,28.9,45.2,6.2,42.8,1.6,68.6,50.1,68.4,18.3,17.7,52.3,13.2,33.7,47.7,40.0,15.4,12.1,ML,Rural,North Eastern Zone
51,Kokrajhar,824.0,910.0,112.0,68.0,1009.0,852.0,37.5,14.4,63.7,76.0,19.6,41.3,36.8,44.9,37.2,86.2,25.8,15.8,56.6,20.0,65.4,6.1,40.5,31.6,74.1,11.6,10.7,31.9,22.3,41.4,51.6,6.3,2.2,1.9,AS,Rural,North Eastern Zone
53,Dhubri,806.0,873.0,103.0,62.6,949.0,832.0,29.3,8.2,55.4,64.8,13.4,49.8,28.4,34.5,23.7,69.8,11.4,4.8,20.4,7.5,40.0,13.2,16.6,31.3,62.3,8.6,10.3,48.9,32.2,43.3,51.3,8.2,6.2,6.8,AS,Rural,North Eastern Zone
55,Goalpara,790.0,913.0,142.0,70.2,961.0,868.0,41.9,10.5,66.9,68.4,18.1,43.2,32.5,54.8,39.4,82.4,30.9,15.4,56.0,27.9,69.1,6.8,40.6,56.0,80.0,11.9,12.5,45.7,24.7,38.1,50.9,4.8,8.2,6.8,AS,Rural,North Eastern Zone
57,Barpeta,832.0,991.0,116.0,69.5,982.0,947.0,34.0,17.8,66.0,81.3,23.2,49.4,41.5,63.8,46.3,86.1,18.8,9.7,33.6,9.7,48.9,13.1,32.7,40.3,68.4,10.0,9.7,41.5,26.6,30.2,35.2,1.1,8.0,6.2,AS,Rural,North Eastern Zone
59,Morigaon,836.0,985.0,121.0,74.8,1020.0,1073.0,38.1,13.6,71.8,78.0,20.9,49.1,36.3,46.7,40.8,93.7,36.5,21.4,52.8,31.6,71.1,1.4,39.9,38.2,66.2,6.8,7.6,38.8,29.6,39.3,41.6,6.4,4.2,5.4,AS,Rural,North Eastern Zone
61,Nagaon,779.0,859.0,121.0,77.6,1003.0,1023.0,43.7,12.6,71.5,78.7,15.7,45.0,41.1,53.0,43.1,93.7,29.3,15.5,44.7,16.8,65.4,1.3,42.6,41.0,73.1,10.4,9.4,40.9,29.2,36.5,38.0,1.7,1.4,2.0,AS,Rural,North Eastern Zone
63,Sonitpur,833.0,970.0,119.0,72.2,1006.0,952.0,60.1,16.2,65.8,86.7,20.7,27.0,45.3,53.5,42.2,96.9,40.2,18.0,54.7,25.2,88.0,2.1,43.6,58.3,66.8,9.5,9.0,28.8,22.0,27.8,49.3,1.9,4.4,3.1,AS,Rural,North Eastern Zone
65,Lakhimpur,815.0,967.0,124.0,78.6,1035.0,1024.0,48.9,12.8,76.8,85.2,36.8,28.1,38.0,69.8,58.9,94.2,44.4,26.9,66.2,30.8,81.4,3.3,53.8,47.0,76.0,11.3,10.5,31.0,21.9,30.9,37.4,1.7,2.0,3.0,AS,Rural,North Eastern Zone
67,Dhemaji,865.0,1028.0,129.0,74.2,1015.0,905.0,41.5,8.4,73.1,86.7,35.1,38.5,34.1,57.6,47.3,94.1,33.8,21.5,64.4,34.2,74.6,4.1,49.1,44.5,67.2,9.2,9.8,36.1,17.4,39.4,39.6,6.5,6.7,8.1,AS,Rural,North Eastern Zone
69,Tinsukia,738.0,909.0,138.0,62.4,1003.0,865.0,45.1,12.2,52.6,72.4,12.6,26.2,47.0,63.4,54.5,91.9,36.0,19.5,67.4,32.9,72.0,0.7,53.9,63.2,70.0,8.4,8.1,40.1,42.0,49.1,54.2,8.5,10.1,8.9,AS,Rural,North Eastern Zone
71,Dibrugarh,733.0,892.0,130.0,72.9,1029.0,948.0,57.2,14.7,69.7,78.2,21.9,25.6,37.3,68.6,67.0,91.7,54.1,37.2,72.1,28.5,87.5,1.4,68.5,67.6,69.0,11.6,11.2,34.8,33.2,52.5,55.6,4.0,4.7,2.7,AS,Rural,North Eastern Zone
73,Sivasagar,825.0,964.0,138.0,77.7,1015.0,1071.0,55.4,20.3,75.9,80.1,34.2,29.9,31.6,66.9,69.9,94.9,39.9,27.7,73.9,40.9,86.5,1.1,73.0,56.1,62.8,14.5,14.5,37.4,32.2,35.8,36.5,9.1,8.7,10.6,AS,Rural,North Eastern Zone
75,Jorhat,740.0,943.0,129.0,80.5,1005.0,764.0,61.6,21.4,80.0,90.7,34.3,21.6,31.4,81.8,72.3,95.3,65.6,48.0,75.5,39.4,96.5,0.0,61.5,51.9,70.0,4.1,4.1,26.5,29.9,39.1,42.8,5.1,5.7,5.2,AS,Rural,North Eastern Zone
