,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
2,Chamba,626.02,738.25,142.43,68.84,1128.31,936.33,75.7,25.38,74.95,92.58,48.44,8.38,43.03,57.17,47.54,85.19,38.92,21.25,48.02,18.67,56.9,3.61,64.56,52.12,32.58,9.12,7.64,29.9,19.06,66.33,51.23,20.32,5.25,20.99,HP,Total,Northern Zone
5,Kangra,2062.74,2149.72,398.45,83.39,1106.72,781.36,67.08,34.89,94.33,96.73,65.84,2.41,41.27,74.51,81.91,93.89,57.82,47.77,83.34,40.31,87.82,4.46,68.61,65.37,45.45,8.32,10.54,25.58,18.76,47.32,59.71,26.26,11.45,23.9,HP,Total,Northern Zone
8,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Total,Northern Zone
11,Kullu,551.89,616.92,168.87,74.18,1014.92,1008.53,65.15,37.79,82.33,96.83,46.41,17.77,58.27,82.11,71.26,85.21,56.3,44.33,71.81,22.94,70.48,3.86,65.68,61.87,49.74,0.64,0.88,19.0,13.38,54.91,59.47,23.82,5.69,32.64,HP,Total,Northern Zone
14,Mandi,1387.48,1471.62,306.52,75.44,1166.72,921.1,71.57,23.77,86.87,96.36,63.86,14.3,62.7,61.05,56.13,87.49,34.21,21.92,56.26,19.32,64.34,2.83,78.75,69.03,35.44,15.76,13.86,26.29,15.22,37.75,39.67,23.1,9.43,22.45,HP,Total,Northern Zone
17,Hamirpur,673.1,690.44,108.02,84.81,1224.98,954.11,81.04,24.29,97.75,99.26,67.64,2.99,42.96,70.13,73.56,85.17,53.82,38.95,81.22,32.93,90.9,3.72,45.94,80.36,40.12,17.02,18.85,29.31,13.64,41.21,35.78,21.88,13.37,33.48,HP,Total,Northern Zone
20,Una,735.3,828.4,170.85,86.07,1096.93,876.85,69.29,32.16,91.89,94.19,57.82,3.97,32.63,68.33,72.65,77.85,52.4,37.82,68.7,33.23,80.91,6.85,59.12,72.85,22.39,12.13,12.42,22.55,14.74,56.55,46.92,16.91,8.74,25.42,HP,Total,Northern Zone
23,Bilaspur,513.36,540.97,98.16,78.58,1085.68,914.68,70.27,19.12,92.14,97.27,60.49,13.63,50.23,71.75,58.79,75.36,55.41,34.06,75.83,23.17,82.86,2.31,58.3,74.78,40.45,7.98,9.17,27.2,15.74,28.32,39.05,14.27,7.24,18.54,HP,Total,Northern Zone
26,Solan,832.77,917.11,280.71,80.91,931.43,1114.52,69.09,48.4,86.14,98.02,53.39,11.63,67.65,73.28,77.62,81.45,48.1,38.56,73.81,34.68,75.44,4.43,79.81,58.27,43.71,11.56,8.55,27.63,15.51,71.81,67.52,26.43,11.22,32.8,HP,Total,Northern Zone
29,Sirmaur,586.66,704.02,184.39,73.53,1015.35,827.64,69.26,38.16,82.05,95.58,48.62,7.56,56.78,70.72,59.77,90.56,47.26,30.5,63.63,18.47,77.78,0.33,70.58,61.6,52.1,7.38,7.63,23.47,19.27,65.1,48.04,20.76,9.03,21.01,HP,Total,Northern Zone
