,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
0,Senapati,855.0,1009.0,134.0,high,medium,low,low,medium,low,high,high,medium,low,low,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
1,Senapati,896.0,1052.0,143.0,high,medium,low,low,medium,low,high,high,medium,low,low,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
2,Tamenglong,777.0,797.0,111.0,medium,medium,medium,low,medium,low,medium,high,low,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
3,Tamenglong,905.0,964.0,129.0,medium,medium,medium,low,medium,low,medium,high,low,low,low,low,low,low,low,medium,low,high,medium,medium,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
4,Churachandpur,732.0,784.0,105.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,medium,low,medium,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Rural,North Eastern Zone
5,Churachandpur,792.0,852.0,114.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,medium,low,medium,low,medium,low,medium,medium,low,medium,low,low,low,low,low,low,MN,Total,North Eastern Zone
6,Bishnupur,926.0,1119.0,133.0,high,medium,low,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
7,Bishnupur,924.0,1138.0,138.0,high,medium,low,low,medium,low,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,low,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
8,Bishnupur,1850.0,2257.0,271.0,high,medium,low,low,medium,medium,high,high,medium,low,low,high,medium,high,low,high,low,high,medium,medium,low,low,low,low,low,low,low,MN,Total,North Eastern Zone
9,Thoubal,918.0,1129.0,146.0,high,medium,medium,low,medium,medium,high,high,medium,low,low,high,medium,high,low,medium,low,medium,medium,medium,low,low,low,low,low,low,low,MN,Urban,North Eastern Zone
