,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Chamba,578.31,683.98,128.53,0.6751,1.1397,0.95138,0.7505,0.1999,0.7371,0.9308,0.4703,0.09029999999999999,0.44170000000000004,0.4534,0.366,0.556,0.0381,0.6394,0.5194,0.3223,0.0611,0.0553,0.2937,0.1986,0.6701,0.5063,0.1884,0.0479,0.1918,HP,Rural,Northern Zone
4,Kangra,1946.63,2077.83,365.15,0.8337,1.11095,0.76723,0.6675,0.3143,0.9427,0.9743999999999999,0.657,0.0248,0.40909999999999996,0.8155,0.5757,0.8761,0.0453,0.6861,0.6609,0.4495,0.0849,0.1074,0.2585,0.1925,0.48229999999999995,0.6142,0.2613,0.1167,0.2322,HP,Rural,Northern Zone
7,Lahul &Spiti,35.11,29.59,8.12,0.6568999999999999,0.99365,0.7866000000000001,0.525,0.5987,0.8090999999999999,0.9098,0.5186,0.1378,0.5874,0.6149,0.46009999999999995,0.7332,0.032799999999999996,0.5889,0.516,0.4274,0.1155,0.098,0.2303,0.0964,0.9470999999999999,0.8323,0.24600000000000002,0.0931,0.3195,HP,Rural,Northern Zone
10,Kullu,500.65,572.35,144.57,0.7315,1.0218099999999999,0.99046,0.6586,0.331,0.8212,0.975,0.4481,0.18899999999999997,0.5869,0.7111,0.5603,0.7006,0.0403,0.6779999999999999,0.6215999999999999,0.5163,0.0070999999999999995,0.0095,0.1955,0.1328,0.563,0.623,0.2335,0.0484,0.3233,HP,Rural,Northern Zone
13,Mandi,1299.23,1358.65,260.81,0.7421,1.17531,0.8891199999999999,0.7169,0.1985,0.8623000000000001,0.965,0.6249,0.1457,0.6333,0.5281,0.33899999999999997,0.6228,0.030699999999999998,0.8087000000000001,0.7091,0.3674,0.154,0.1386,0.2754,0.1523,0.3514,0.3703,0.22829999999999998,0.0906,0.20850000000000002,HP,Rural,Northern Zone
16,Hamirpur,625.44,645.61,97.48,0.8443999999999999,1.24999,0.9826900000000001,0.8120999999999999,0.2165,0.977,0.9918,0.6631,0.032,0.44630000000000003,0.7338,0.5485,0.9053,0.0387,0.4765,0.7987000000000001,0.4086,0.1606,0.17170000000000002,0.2878,0.1349,0.4069,0.35960000000000003,0.2076,0.1349,0.3346,HP,Rural,Northern Zone
19,Una,679.03,774.47,148.34,0.8612000000000001,1.1186099999999999,0.8714299999999999,0.6856,0.2805,0.9185,0.9464,0.5759000000000001,0.0431,0.33490000000000003,0.7129000000000001,0.5169,0.8003,0.0717,0.6108,0.7356999999999999,0.2249,0.1232,0.1288,0.2368,0.1516,0.5558,0.4753,0.16149999999999998,0.08960000000000001,0.24609999999999999,HP,Rural,Northern Zone
22,Bilaspur,480.94,513.73,92.11,0.7811,1.0983100000000001,0.9172399999999999,0.6977,0.1424,0.9216,0.9781,0.601,0.1422,0.5075,0.5902000000000001,0.5547,0.8243,0.0242,0.5975,0.7612000000000001,0.41969999999999996,0.0872,0.09960000000000001,0.2823,0.1586,0.2898,0.3942,0.1383,0.073,0.1822,HP,Rural,Northern Zone
25,Solan,618.84,743.19,191.08,0.7909999999999999,0.9956200000000001,1.09173,0.6524,0.3552,0.8576999999999999,0.9708,0.5107,0.0981,0.715,0.7256,0.5096,0.722,0.0513,0.7873,0.5852,0.4064,0.1217,0.09539999999999998,0.3132,0.1686,0.7,0.6674,0.2588,0.09519999999999999,0.3071,HP,Rural,Northern Zone
28,Sirmaur,502.78,594.05,151.35,0.7181000000000001,1.00799,0.81168,0.6663,0.2983,0.8083,0.9460999999999999,0.45520000000000005,0.092,0.5664,0.5914,0.4753,0.7595999999999999,0.0038,0.7012,0.5736,0.49079999999999996,0.0525,0.0509,0.247,0.2182,0.6389,0.4539,0.20309999999999997,0.08380000000000001,0.2167,HP,Rural,Northern Zone
31,Shimla,801.18,879.6,206.99,0.7302,1.01429,1.22893,0.6976,0.5528,0.8262999999999999,0.9588,0.5679,0.0916,0.6596,0.7463,0.5022,0.7454999999999999,0.0124,0.8642,0.5728,0.45909999999999995,0.1295,0.1184,0.2737,0.1361,0.7432,0.7170000000000001,0.3249,0.1063,0.3923,HP,Rural,Northern Zone
