,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Senapati,896.0,1052.0,143.0,1.094748562362393,-0.10601159954364754,-0.6086385872939478,-3.915645857332182,0.577243608253743,-0.6035566401498084,0.8481943862452334,1.0039424386437488,0.1080059664221775,-0.3839869363170024,-1.9895058118541915,-0.41961300245604194,-0.8614237705264635,-2.2432862548008483,2.815672238992707,-0.17803591944889022,-2.2491728902347554,0.9811022215413169,0.8073156446127415,0.45941956781623616,-0.17523575862756205,-1.501725915319772,-2.091901997621717,-2.031319468269096,-0.5419977520706869,-0.7859511968812585,-0.23078327176624408,MN,Total,North Eastern Zone
3,Tamenglong,905.0,964.0,129.0,0.45156037921642533,0.5262941796231642,1.7892618217265772,-3.7513483272074724,0.6783404172008978,-0.8466681379874258,0.11697597805234056,0.7282175639911526,-0.370661523750416,-0.6502385781321712,-2.1036279552467048,-0.6856265922559407,-0.7813320386600071,-2.520848871883121,1.3102829307728987,-1.0161520883697475,-1.9235231041749696,1.4611873815682055,2.0562808545047035,1.7444738586260615,0.03468598605244748,-1.5878477836363118,-2.085627411050063,-1.8821744556723488,-0.5490280906829269,-0.8970031235712141,-0.4526399684194696,MN,Total,North Eastern Zone
5,Churachandpur,792.0,852.0,114.0,1.0599816335436927,0.04855203536379533,0.4178598754716879,-2.952264885237293,0.8510474658189536,0.2917110979188781,0.9338325781957522,0.9708554536854376,0.37093599623529205,-0.8425314305542377,-1.7973000966668,0.3862516960554165,-0.46630455998527864,-0.8271504533606857,0.1543589976755458,-0.5486315043458678,-2.176182420945493,1.1743072249667725,0.6889926247282399,0.14399715098109728,-0.1052618437342253,-1.6201434842550142,-2.4244550859193814,-2.408106868513509,-0.6755741857032463,-0.934020432467866,-0.4526399684194696,MN,Total,North Eastern Zone
8,Bishnupur,1850.0,2257.0,271.0,1.0773650979530434,0.5403454191602044,-0.14055528827281796,-3.2808599454867124,-0.3242029381917207,0.16050806733984627,1.2368600266360508,1.1693773634353066,0.69454218677451,-0.8129479147969968,-1.6291200958778325,1.4385701615873694,0.7243925204293733,0.49268811358154596,0.5038243727980013,0.8767361298732768,-1.5473414547610789,1.566571928891182,1.1359906998474685,0.8332535433245489,-1.2048519349152271,-1.2756560109888548,-2.1797462096248736,-1.8978739306825327,-0.007692017540449288,-0.5885255494324483,0.1531994724412616,MN,Total,North Eastern Zone
11,Thoubal,1841.0,2302.0,294.0,0.868763525040837,0.9618826052714122,0.37679993696106245,-4.02766690059903,-0.016700144310791584,0.09104763938624139,1.1051089620967907,1.52230520299063,0.4990301133237324,-0.8351355516149276,-1.8934029542604955,1.1529967490080661,0.9753466136109364,-0.24936704637309906,1.8210400174903338,0.20396260652184067,-1.3901312132149755,1.209435407407764,1.1622847042662465,0.8332535433245489,-0.6650531628809171,-1.4156040470032323,-1.9601356796169818,-1.7801278681061534,-0.10611675811180876,-0.7119165790879546,0.27266077063915245,MN,Total,North Eastern Zone
14,Imphal West,1838.0,2129.0,269.0,1.6944780844849856,1.4255735099937408,0.6970674573439408,-2.5415210599255182,0.05912246239957441,1.1020827573776029,1.697988752523461,1.4671602280601108,1.8204220580255397,-1.175345982823199,-2.025544383451827,1.117789068005138,1.285034643494568,0.7702507306638182,-0.14134247358191662,1.1960184799383649,-0.39072324910046,0.8815723712918402,2.1351628677610375,1.919708534645583,-1.5747140564942912,-1.6416739513341492,-1.6840538704642036,-1.7173299680654177,-0.3170269164790078,-0.20601335750037877,0.383589118965765,MN,Total,North Eastern Zone
17,Imphal East,1820.0,2232.0,283.0,1.3555005285026505,0.8916264075862109,-0.47724678405994647,-4.154624082968123,-0.1051598521395521,0.5965651983819221,1.2105098137281984,1.3678992731851756,1.051857355494897,-0.9312819778259607,-1.773274382268376,1.2468838983492068,0.8044842522958296,0.16980915085318868,0.3156507092705252,0.6201699557138307,-1.5304975003097108,1.4611873815682055,1.1491377020568572,0.8566181667938187,-1.0549078315723632,-1.4156040470032323,-2.217393729054798,-1.858625243157073,-0.2115718372954083,-0.6255428583291003,0.40065501870832104,MN,Total,North Eastern Zone
19,Ukhrul,890.0,833.0,120.0,1.3728839929120011,-0.13411407861772806,0.8941551621949428,-3.2659238063844658,0.5856683423326724,-0.91998747860512,1.131459175004642,0.8054205288938798,0.6675750042295752,-0.6428426991928611,-2.2838208132348843,-0.9086085719411502,-0.8347265265709781,-2.498190699060078,1.4984565943003747,-1.1073756169597728,-2.5299054644242256,1.525589049376691,1.3594897374070827,1.2771813892406705,-0.40515005041995295,-1.6309087177945818,-1.9099389870437493,-2.745645581232463,-0.309996577866768,-0.9216813295023154,-0.3587775198354127,MN,Total,North Eastern Zone
21,Chandel,892.0,972.0,124.0,0.8339965962221355,0.9618826052714122,0.17971223211006038,-3.773752535860842,0.6614909490430387,-0.6614403301111459,0.5517544910318982,1.2686383183102419,0.4113867700526944,-0.6354468202535508,-2.1937243842407947,-0.28660620755609256,-0.23136881317700658,-2.2432862548008483,5.208165960984903,-0.6398550329358932,-2.49621755552149,1.1099055571582872,0.320876562865346,0.15567946271573202,-0.06527674950946175,-1.792387220888094,-1.74052514960909,-2.1569152683505672,-0.3802999639891676,-0.8599858146745623,-0.3502445699641346,MN,Total,North Eastern Zone
23,Bargarh,1181.31,1282.25,188.72,0.18385502731242787,0.36540748692405256,-0.025751700197109113,0.5793852054888567,-0.8233684323682977,-0.8250582270685266,0.1512312548325479,0.2694113725692328,-0.5520158263651028,-0.8255209089938241,0.419072056587807,0.5200408838665421,0.7195870165173857,0.8036715355778055,-0.5983356564343586,1.1184784806368433,0.550853804731024,1.4828497607401507,-0.7348277145485964,-0.7940924813100751,0.22961332039817003,0.8870794071102519,0.7642898097952054,1.3786065039428477,-0.12369260464240868,-0.8957692132746591,-0.7572662788240907,OR,Total,Eastern Zone
