District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
Senapati,79.7,856.0,36.4,59.5,16.8,98.5,79.5,93.1,33.5,19.4,11.3,30.8,38.1,13.8,36.7,57.2,18.2,60.9,15.9,14.6,35.6,9.2,7.1,18.9,18.8,23.3,25.2,5.9,MN,Rural,North Eastern Zone
Tamenglong,69.5,1158.0,36.7,61.0,7.3,99.6,65.4,90.2,23.1,15.8,8.9,31.0,27.2,11.4,28.0,39.6,22.8,68.9,23.7,22.5,39.5,7.2,3.9,11.6,8.3,22.9,27.2,13.9,MN,Rural,North Eastern Zone
Churachandpur,79.4,998.0,49.6,66.0,40.0,100.0,80.6,93.6,36.6,14.3,15.4,24.5,58.9,19.1,60.9,52.1,19.7,63.1,14.5,11.2,36.8,8.1,5.6,22.0,17.1,18.4,20.3,4.9,MN,Rural,North Eastern Zone
Bishnupur,82.3,915.0,44.6,35.7,46.3,99.7,87.4,95.2,49.6,14.3,14.5,27.1,87.9,44.6,86.0,78.8,35.6,69.0,21.5,20.9,24.9,11.8,11.8,25.5,23.1,22.3,23.6,7.6,MN,Urban,North Eastern Zone
Bishnupur,77.4,916.0,43.0,40.9,30.7,99.9,83.9,94.7,35.8,13.4,20.5,27.9,86.2,42.5,87.0,75.3,27.9,73.8,14.5,13.8,24.5,10.1,13.6,23.4,20.5,20.6,30.1,11.9,MN,Rural,North Eastern Zone
Thoubal,80.8,1146.0,32.4,48.4,50.8,100.0,87.0,98.1,49.0,14.9,13.5,32.2,82.4,53.0,80.3,58.1,34.4,65.1,21.6,21.0,29.3,9.6,13.2,31.2,25.5,26.3,26.3,9.4,MN,Urban,North Eastern Zone
Thoubal,75.2,890.0,35.0,43.3,27.0,99.6,81.5,98.3,33.9,12.7,12.9,33.7,78.1,45.5,69.4,69.2,34.4,65.3,16.5,15.5,30.6,9.8,15.2,22.0,17.3,24.1,29.6,9.1,MN,Rural,North Eastern Zone
Imphal West,88.5,1067.0,60.3,49.6,73.9,99.5,94.5,99.2,65.3,9.1,10.8,32.9,83.1,59.6,93.1,85.3,47.7,59.6,26.9,29.5,20.2,7.2,10.8,33.6,23.7,28.4,28.8,10.4,MN,Urban,North Eastern Zone
Imphal West,84.4,947.0,41.9,43.0,43.5,99.7,89.6,95.2,49.7,8.9,11.2,33.5,72.1,45.8,88.9,79.1,58.9,59.8,24.2,23.2,22.2,8.3,8.6,25.5,22.9,30.5,29.8,17.2,MN,Rural,North Eastern Zone
Imphal East,86.3,732.0,35.8,45.5,68.6,99.8,87.5,95.9,55.9,8.9,16.5,26.2,83.8,44.1,85.9,72.6,33.0,62.0,12.8,11.8,25.8,8.9,11.9,33.4,18.3,19.0,24.5,6.8,MN,Urban,North Eastern Zone
