,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
0,Srikakulam,medium,low,medium,low,low,medium,medium,medium,medium,medium,high,low,high,high,high,medium,high,low,low,low,low,medium,medium,medium,low,high,high,medium,AP,Rural,Southern Zone
2,Vizianagaram,low,low,high,low,medium,low,medium,low,low,medium,high,low,high,medium,high,medium,high,medium,low,low,medium,medium,medium,low,medium,high,high,high,AP,Rural,Southern Zone
7,East Godavari,medium,medium,high,medium,medium,medium,medium,medium,low,medium,high,low,high,high,high,medium,high,medium,low,low,low,low,low,medium,medium,high,high,high,AP,Rural,Southern Zone
9,West Godavari,medium,low,medium,medium,medium,medium,medium,low,medium,medium,high,low,high,medium,high,high,high,low,low,low,low,low,low,high,high,medium,high,low,AP,Rural,Southern Zone
17,Prakasam,low,low,medium,medium,medium,medium,medium,medium,low,medium,high,low,high,medium,high,medium,high,low,low,low,low,low,low,medium,medium,medium,high,medium,AP,Rural,Southern Zone
21,Y.S.R.,medium,low,low,high,high,high,high,high,high,low,high,low,high,high,high,medium,high,medium,low,low,medium,low,low,high,high,medium,medium,low,AP,Urban,Southern Zone
22,Y.S.R.,low,low,medium,medium,medium,low,medium,medium,medium,medium,high,low,high,high,high,medium,high,low,low,low,medium,medium,low,medium,medium,medium,high,medium,AP,Rural,Southern Zone
24,Kurnool,low,low,high,medium,medium,low,low,medium,low,medium,high,low,high,medium,high,high,high,low,low,low,medium,medium,low,medium,medium,medium,medium,medium,AP,Rural,Southern Zone
26,Anantapur,low,medium,medium,low,medium,low,medium,medium,low,medium,high,low,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,AP,Rural,Southern Zone
28,Chittoor,medium,medium,medium,low,medium,medium,medium,high,medium,medium,high,low,high,high,high,high,high,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,AP,Rural,Southern Zone
31,Tawang,low,medium,high,medium,medium,high,low,low,low,low,low,high,low,low,low,low,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,AR,Rural,North Eastern Zone
34,West Kameng,medium,medium,high,medium,medium,high,medium,high,low,medium,low,high,low,low,medium,low,medium,medium,medium,medium,low,low,low,medium,low,medium,low,low,AR,Rural,North Eastern Zone
37,East Kameng,low,medium,medium,low,low,high,low,medium,low,medium,low,high,low,low,low,low,low,medium,low,low,medium,low,low,low,low,medium,low,low,AR,Rural,North Eastern Zone
39,Papum Pare,high,low,high,high,high,high,high,high,high,low,low,high,low,low,high,medium,medium,medium,low,low,low,low,low,medium,medium,medium,medium,low,AR,Urban,North Eastern Zone
40,Papum Pare,medium,low,high,medium,high,high,medium,high,medium,medium,low,high,low,low,high,low,medium,low,low,low,medium,low,low,medium,medium,medium,medium,low,AR,Rural,North Eastern Zone
43,Upper Subansiri,medium,medium,high,medium,low,high,medium,medium,low,medium,low,high,low,low,medium,low,medium,medium,high,high,low,low,low,low,low,medium,medium,medium,AR,Rural,North Eastern Zone
46,West Siang,medium,low,high,high,low,high,medium,high,medium,low,low,high,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low,medium,low,AR,Rural,North Eastern Zone
49,East Siang,medium,medium,high,high,low,high,high,high,medium,low,medium,medium,low,low,medium,medium,medium,low,low,low,low,low,low,medium,medium,medium,medium,medium,AR,Rural,North Eastern Zone
55,Changlang,medium,medium,medium,medium,low,high,medium,high,low,low,medium,low,medium,low,medium,high,low,high,low,low,low,low,low,low,low,medium,medium,low,AR,Rural,North Eastern Zone
58,Tirap,medium,medium,medium,medium,low,high,medium,high,low,low,medium,low,low,low,low,medium,low,high,low,low,medium,low,low,low,low,medium,medium,low,AR,Rural,North Eastern Zone
61,Lower Subansiri,medium,low,high,high,medium,high,medium,high,medium,low,low,medium,low,low,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low,AR,Rural,North Eastern Zone
64,Kurung Kumey,medium,medium,high,medium,medium,high,low,medium,low,medium,low,medium,low,low,low,low,low,medium,low,low,medium,low,low,low,medium,medium,low,low,AR,Rural,North Eastern Zone
67,Dibang Valley,medium,high,high,high,low,high,medium,medium,medium,low,medium,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,low,low,low,low,AR,Rural,North Eastern Zone
70,Lower Dibang Valley,medium,low,high,high,low,high,medium,medium,low,medium,low,medium,low,low,medium,medium,medium,medium,medium,medium,low,low,low,low,low,medium,medium,low,AR,Rural,North Eastern Zone
73,Lohit,medium,low,high,medium,low,high,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium,high,low,low,low,low,medium,low,low,medium,medium,medium,AR,Rural,North Eastern Zone
76,Anjaw,medium,medium,high,medium,low,high,medium,high,low,medium,low,high,low,low,medium,low,medium,medium,medium,medium,low,low,low,medium,medium,medium,low,low,AR,Rural,North Eastern Zone
78,Kokrajhar,medium,low,medium,medium,low,high,medium,medium,low,medium,medium,low,medium,low,medium,medium,low,high,low,low,medium,medium,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
80,Dhubri,medium,low,high,low,low,high,medium,medium,low,high,medium,medium,low,low,medium,low,low,medium,low,low,high,medium,low,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
82,Goalpara,medium,low,high,medium,low,high,medium,medium,low,medium,medium,medium,medium,medium,high,medium,medium,high,low,low,medium,medium,low,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
84,Barpeta,medium,medium,high,low,low,high,medium,medium,low,high,medium,low,medium,low,medium,low,medium,high,low,low,medium,medium,medium,low,low,low,medium,low,AS,Rural,North Eastern Zone
86,Morigaon,medium,medium,high,medium,low,high,medium,medium,low,high,medium,medium,medium,medium,high,medium,low,medium,low,low,medium,medium,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
88,Nagaon,high,medium,high,medium,low,high,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,high,low,low,medium,medium,medium,low,low,medium,medium,low,AS,Rural,North Eastern Zone
